Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
4415,1,15.0,31900,38439,37032,241,174,18,0.5351977116434421,0.976259582534819
4415,2,15.0,33164,31775,33686,301,169,17,0.5376143212482934,0.9737034143270397
4415,3,15.0,36866,26228,31525,376,164,17,0.5342958183685749,1.0154403321647385
4415,4,15.0,42117,21609,29847,468,159,17,0.5342958183685749,1.0154403321647385
4415,5,15.0,48308,17761,28293,582,154,16,0.554822211981181,1.0065285324186948
4415,6,15.0,54822,14556,26675,724,150,18,0.535578685126443,1.0090153238081507
4415,7,15.0,61050,11885,24919,872,145,18,0.535578685126443,1.0090153238081507
4415,8,15.0,66610,9666,23050,1005,141,20,0.5374008127203744,1.0075594615216725
4415,9,15.0,71413,7834,21142,1124,137,23,0.5522902711738658,0.9765328971377236
4415,10,15.0,75510,6329,19263,1228,133,22,0.5687435958814352,0.9738311307780328
4415,11,15.0,79007,5100,17461,1319,129,23,0.5736138858715992,1.0120920317798274
4415,12,15.0,82011,4099,15765,1398,126,23,0.5736138858715992,1.0120920317798274
4415,13,15.0,84609,3288,14190,1466,122,22,0.5849599103055864,1.0130410373475964
4415,14,15.0,86866,2633,12741,1524,118,22,0.5849599103055864,1.0130410373475964
4415,15,15.0,88835,2105,11416,1574,115,22,0.5849599103055864,1.0130410373475964
4415,16,15.0,90555,1680,10213,1617,112,22,0.5849599103055864,1.0130410373475964
4415,17,15.0,92061,1340,9123,1653,109,22,0.5429967000573108,1.046282938947609
4415,18,15.0,93381,1068,8140,1684,106,24,0.5285558395546924,1.0731484048797044
4415,19,15.0,94539,850,7256,1710,103,25,0.5363841092730791,1.0722311044261257
4415,20,15.0,95558,676,6463,1732,100,25,0.5352773365100167,1.102644874435291
4415,21,15.0,96456,538,5752,1750,97,22,0.4852620541628049,1.109756788921093
4415,22,15.0,97246,428,5116,1767,94,21,0.5019877544185631,1.130097807412097
4415,23,15.0,97941,340,4549,1780,92,22,0.4557220437861808,1.1630281774996118
4415,24,15.0,98554,270,4042,1792,89,22,0.4875825517868408,1.156216552214818
4415,25,15.0,99096,214,3590,1802,87,21,0.4742405030135933,1.161704426003725
4415,26,15.0,99575,170,3188,1810,84,22,0.4535586976956404,1.174517697924714
4415,27,15.0,99998,135,2830,1817,82,21,0.4378425131188789,1.1829376124640891
