Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
4434,1,15.0,32767,33275,39458,221,135,17,0.49148711690513736,0.9651123615142382
4434,2,15.0,36553,27559,36621,274,131,16,0.5162175637664046,0.9482081803444773
4434,3,15.0,42078,22795,34554,338,128,15,0.49601113321227974,0.9677219469070594
4434,4,15.0,48748,18825,32709,418,124,15,0.49601113321227974,0.9677219469070594
4434,5,15.0,55959,15515,30805,517,121,16,0.5240514367589884,0.9608362025887962
4434,6,15.0,63082,12756,28725,638,118,18,0.5080594776320153,0.9901198312299431
4434,7,15.0,69594,10454,26476,786,115,20,0.5034395111841269,0.9916800945996332
4434,8,15.0,75190,8536,24128,945,112,22,0.5215237742489228,1.0064011976309217
4434,9,15.0,79859,6941,21786,1084,109,22,0.5005276957031176,0.990679569040632
4434,10,15.0,83816,5623,19543,1204,106,23,0.49647456925967715,0.9998207561715502
4434,11,15.0,87218,4542,17449,1306,103,24,0.49195151684436844,0.9862469522690583
4434,12,15.0,90170,3659,15524,1394,100,22,0.46942631853909306,0.9823769253010297
4434,13,15.0,92742,2940,13771,1468,98,22,0.4747228778332037,0.9697246254941402
4434,14,15.0,94985,2359,12187,1530,95,21,0.4659458072415753,0.956692903901258
4434,15,15.0,96941,1889,10765,1583,93,21,0.4668181326990811,0.9939236440105967
4434,16,15.0,98647,1511,9493,1628,90,22,0.4392307551997812,0.9871606228613782
4434,17,15.0,100134,1207,8359,1665,88,21,0.4549276406936292,0.9776235378747257
4434,18,15.0,101430,963,7353,1696,86,21,0.4549276406936292,0.9776235378747257
4434,19,15.0,102559,768,6461,1723,83,18,0.455775672731356,1.0114413617974565
4434,20,15.0,103544,612,5673,1745,81,19,0.4472525806881233,1.042995659142877
4434,21,15.0,104401,487,4977,1764,79,18,0.44869236006796,1.0807528460787443
4434,22,15.0,105149,388,4364,1780,77,19,0.4403251748764599,1.1114027955763828
4434,23,15.0,105800,309,3825,1793,75,20,0.41112538560498135,1.1292698656559381
4434,24,15.0,106370,246,3350,1804,73,18,0.401164666213649,1.1757563497118122
4434,25,15.0,106868,195,2934,1813,71,18,0.401164666213649,1.1757563497118122
4434,26,15.0,107302,155,2568,1821,70,17,0.4008034237848055,1.1742757306918161
4434,27,15.0,107681,123,2247,1828,68,18,0.38835360304697475,1.152716275781465
