Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
4427,1,15.0,48334,25154,28934,232,137,17,0.4846102451929067,0.8633892385051398
4427,2,15.0,55085,20819,26378,287,133,16,0.4787399107233091,0.854391247758019
4427,3,15.0,62700,17208,24026,355,129,16,0.4787399107233091,0.854391247758019
4427,4,15.0,70345,14198,21735,439,126,17,0.517517100894159,0.8635258712617309
4427,5,15.0,77328,11690,19477,542,123,16,0.49673115769520554,0.8490730668140097
4427,6,15.0,83259,9599,17286,669,119,19,0.4259668586653335,0.8489619377802942
4427,7,15.0,88046,7855,15210,824,116,18,0.44509225468683133,0.8650735224185703
4427,8,15.0,91773,6403,13286,988,113,19,0.4710573055334971,0.8875382325837977
4427,9,15.0,94677,5195,11540,1129,110,22,0.4563919876000427,0.8691289399822579
4427,10,15.0,97069,4200,9987,1249,107,23,0.49410322938776086,0.8489988512653482
4427,11,15.0,99089,3385,8619,1350,104,20,0.5053860905896029,0.8547732686046186
4427,12,15.0,100806,2720,7421,1434,102,20,0.5053860905896029,0.8547732686046186
4427,13,15.0,102265,2181,6379,1505,99,20,0.5053860905896029,0.8547732686046186
4427,14,15.0,103503,1746,5474,1564,96,20,0.4832261394579588,0.8714767233474081
4427,15,15.0,104554,1395,4692,1614,94,19,0.4949302297896985,0.8648575579963679
4427,16,15.0,105444,1113,4017,1655,91,19,0.4752643532620948,0.8659716041809981
4427,17,15.0,106198,887,3436,1689,89,20,0.4879680617231319,0.8745547291796187
4427,18,15.0,106836,707,2937,1717,87,20,0.45005713456476737,0.8977970717144738
4427,19,15.0,107377,562,2509,1741,84,19,0.470803640623837,0.9075773597795576
4427,20,15.0,107836,447,2142,1760,82,18,0.508255606368894,0.9174957807809544
4427,21,15.0,108224,356,1829,1777,80,15,0.5463511131001157,0.8934650408087565
4427,22,15.0,108553,283,1560,1791,78,12,0.5520158671024801,0.9069990552158828
4427,23,15.0,108831,224,1331,1802,76,12,0.5577498976911989,0.9009451202762828
4427,24,15.0,109066,178,1135,1812,74,12,0.4991090509647537,0.8931586883448946
4427,25,15.0,109265,141,967,1820,72,12,0.528520987028375,0.90229295392261
4427,26,15.0,109436,112,824,1827,71,12,0.5208217006234259,0.9442124510482005
4427,27,15.0,109581,89,703,1833,69,13,0.520762622528127,0.9469781611014648
4427,28,15.0,109706,70,599,1837,67,12,0.5033812975319011,0.9394234991804694
4427,29,15.0,109814,56,510,1841,65,14,0.5026478424157357,0.9549418779885366
4427,30,15.0,109906,44,435,1844,64,14,0.5026478424157357,0.9549418779885366
4427,31,15.0,109986,35,370,1847,62,15,0.47889812167869145,0.9580346567392082
4427,32,15.0,110055,28,315,1849,61,17,0.5031539825083721,0.967379839720825
4427,33,15.0,110116,22,269,1850,59,17,0.4617604436426461,0.9618835348280804
4427,34,15.0,110169,17,229,1852,58,17,0.4778638401064136,0.9652639714405966
4427,35,15.0,110216,14,195,1853,56,16,0.45811711603377775,0.9607408381460458
4427,36,15.0,110256,11,166,1854,55,17,0.3962632386548594,0.9905835523639782
4427,37,15.0,110291,8,141,1854,53,16,0.4091537424025589,0.9983973605707265
4427,38,15.0,110322,7,120,1855,52,13,0.3493040472420693,1.0212932097226817
4427,39,15.0,110349,5,102,1856,51,14,0.3850746290160226,1.0265416049157234
4427,40,15.0,110371,4,87,1857,50,13,0.45756407196781435,1.0356681609806289
4427,41,15.0,110391,3,74,1858,48,13,0.46252352602825664,1.0356681609806289
4427,42,15.0,110409,2,63,1858,47,11,0.4560283286299864,1.0334165264612998
4427,43,15.0,110424,2,54,1859,46,11,0.4560283286299864,1.0334165264612998
4427,44,15.0,110437,1,46,1859,45,11,0.4560283286299864,1.0334165264612998
4427,45,15.0,110449,1,39,1860,44,11,0.4560283286299864,1.0334165264612998
4427,46,15.0,110460,1,33,1860,43,14,0.43592336449418456,1.029134500980352
4427,47,15.0,110470,0,28,1861,42,14,0.385659781585803,1.0224604164677336
4427,48,15.0,110482,0,24,1861,41,15,0.36970926490408756,1.0210519593197922
4427,49,15.0,110492,0,20,1861,40,15,0.3227965875229314,1.0148228137746815
4427,50,15.0,110502,0,17,1861,39,15,0.3227965875229314,1.0148228137746815
4427,51,15.0,110511,0,15,1861,38,14,0.381639726813744,1.018379228019744
4427,52,15.0,110520,0,12,1861,37,16,0.39621564992686886,1.0220883433718935
