Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
369,1,15.005,36799,47429,41370,162,133,17,0.5383860796101418,0.8837771481858383
369,2,15.01414213562373,32288,41880,42368,187,141,17,0.5383860796101418,0.8837771481858383
369,3,15.025980762113534,28670,36916,46358,217,151,16,0.5267789546849839,0.8872557056090211
369,4,15.04,25614,32477,52350,251,161,16,0.5267789546849839,0.8872557056090211
369,5,15.055901699437495,22928,28510,59684,290,171,17,0.5532245282374156,0.9099591557774562
369,6,15.073484692283495,20499,24964,67670,334,182,19,0.6028247170222227,0.8880621734951886
369,7,15.092601295887262,18266,21798,75586,385,193,21,0.5759622535638038,0.8894613357523117
369,8,15.113137084989848,16203,18973,82845,444,206,20,0.5734170116360718,0.9433332268256501
369,9,15.135,14307,16455,89148,511,218,21,0.5802231892824568,0.9289101813669273
369,10,15.158113883008419,12578,14214,94469,586,232,21,0.561813303076236,0.9197875249584061
369,11,15.182414363469547,11017,12221,98938,672,246,22,0.5499535426917299,0.9045594056519122
369,12,15.207846096908264,9618,10454,102706,769,261,23,0.5520733381146912,0.9239759565326032
369,13,15.234360832905159,8369,8890,105898,878,277,22,0.544606365201261,0.9368635330935183
369,14,15.261916017074176,7261,7512,108601,992,293,23,0.561472568375101,0.9249956808100188
369,15,15.290473750965557,6280,6304,110897,1088,310,24,0.6005658853738897,0.9460277881921421
369,16,15.32,5420,5258,112888,1169,328,24,0.6005658853738897,0.9460277881921421
369,17,15.350463978177501,4668,4363,114609,1237,347,24,0.6107647627417426,0.9386471788879401
369,18,15.381837661840736,4015,3604,116086,1293,366,25,0.6250912517037945,0.9502939344832828
369,19,15.414095399636365,3449,2964,117343,1340,387,26,0.6237417233501189,0.9509448085188059
369,20,15.447213595499958,2959,2429,118406,1379,408,28,0.6249082526844464,0.9497936844593274
369,21,15.481170447970364,2537,1985,119298,1410,430,31,0.6052637279894973,0.9530618957031136
369,22,15.515945733580578,2175,1617,120044,1436,452,34,0.6150920814220499,0.9754151528137761
369,23,15.551520625180963,1863,1313,120664,1456,475,36,0.622557531310052,1.0011991287353905
369,24,15.587877538267962,1595,1065,121175,1473,499,41,0.6367048601092222,1.0303249075128107
369,25,15.625,1366,861,121595,1486,523,43,0.6475217231728341,1.0330881019137694
369,26,15.662872536767061,1170,695,121937,1496,548,49,0.6484311499675354,1.0567858213708596
369,27,15.701480577065395,1002,560,122213,1504,573,52,0.630553521402044,1.0805887755047292
369,28,15.740810367098085,859,450,122435,1510,599,59,0.6418038587581578,1.09914741063345
369,29,15.780848897034502,736,361,122610,1513,624,67,0.6432645433139362,1.1141760991741958
369,30,15.82158383625775,631,289,122748,1515,650,70,0.6465501626146407,1.1196035096926205
369,31,15.863003476238653,541,231,122854,1516,676,81,0.6493990978939961,1.143893655950089
369,32,15.905096679918781,464,185,122933,1516,701,99,0.6561834772081997,1.1402921908965595
369,33,15.947852836678775,398,147,122992,1513,726,114,0.6561419402205594,1.1477511722885123
369,34,15.9912618221237,342,117,123039,1509,750,131,0.6511264521285599,1.1570706041986374
369,35,16.035313962042434,294,93,123074,1503,772,156,0.6517430632026102,1.1618125845526481
369,36,16.08,253,74,123101,1496,793,182,0.6629549549914252,1.1812717231383796
369,37,16.12531106810517,218,59,123126,1486,812,208,0.6587001548098945,1.1943686652779737
369,38,16.171238660564107,188,47,123151,1475,828,243,0.6577422042419068,1.2111431931969847
369,39,16.217774609687687,162,37,123177,1462,842,283,0.6631393278151915,1.2242546252510047
369,40,16.264911064067352,140,29,123208,1447,853,326,0.6602790632521868,1.2251654422435079
369,41,16.312640468673735,121,23,123248,1430,860,377,0.6650775560595633,1.2285714670716512
369,42,16.36095554666565,105,18,123298,1410,862,447,0.6580306642625556,1.233142339297678
369,43,16.40984928272493,91,14,123362,1386,859,530,0.6626460762552346,1.2365391363755065
369,44,16.459314907756376,79,11,123446,1358,850,604,0.6630818933159088,1.2412270519044692
369,45,16.509345884812358,68,9,123557,1328,835,704,0.6652840706086142,1.2458781382053465
369,46,16.559935896118812,60,7,123684,1294,813,809,0.6617851449631201,1.252418773082373
369,47,16.611078831094247,52,6,123838,1257,785,931,0.6634399555402009,1.2577136702406746
369,48,16.662768775266123,45,4,124016,1216,750,1081,0.6635421791853546,1.262958900860541
369,49,16.715,40,3,124221,1170,707,1210,0.6628286638635544,1.2633799477673462
369,50,16.76776695296637,35,3,124457,1124,659,1372,0.6601869544252454,1.2646844634359633
