Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
4417,1,15.0,45781,36642,34750,174,178,20,0.5629165086648097,1.0622591415492086
4417,2,15.0,46874,30340,29837,215,172,20,0.5629165086648097,1.0622591415492086
4417,3,15.0,51697,25098,26382,267,167,20,0.5629165086648097,1.0622591415492086
4417,4,15.0,58499,20736,23566,330,162,22,0.5978963118702454,1.0840578611310325
4417,5,15.0,66204,17107,21041,408,157,23,0.6083182818316013,1.0987859038528025
4417,6,15.0,73868,14086,18665,503,153,21,0.6254024069082855,1.0724423330057877
4417,7,15.0,80752,11572,16407,621,148,23,0.6091506560021689,1.0765724564564783
4417,8,15.0,86470,9477,14287,765,144,28,0.6005867123540112,1.0574766058072511
4417,9,15.0,90962,7734,12338,936,139,29,0.5742736747788658,1.047311231457023
4417,10,15.0,94366,6284,10580,1083,135,29,0.591568537215623,1.0684074821933127
4417,11,15.0,97086,5086,9031,1210,131,30,0.5800972929032194,1.0651751956834166
4417,12,15.0,99323,4103,7684,1316,127,29,0.594402308649691,1.0747000881909199
4417,13,15.0,101185,3301,6521,1407,124,29,0.5828178411478993,1.0884281880331426
4417,14,15.0,102736,2650,5522,1482,120,31,0.5998711648146032,1.1118570565287251
4417,15,15.0,104029,2123,4668,1546,116,32,0.6072324366111319,1.1479273238093581
4417,16,15.0,105106,1698,3941,1598,113,33,0.598611888211458,1.155086013048014
4417,17,15.0,106003,1356,3323,1642,110,30,0.5844562202325734,1.1618721025925198
4417,18,15.0,106748,1082,2799,1679,107,31,0.6086224841688467,1.198196397903024
4417,19,15.0,107367,863,2356,1710,104,31,0.6299054412598589,1.1962479250283076
4417,20,15.0,107881,687,1982,1736,101,27,0.596415919751914,1.1658528024307817
4417,21,15.0,108309,547,1666,1757,98,27,0.664858381966508,1.2118232085389578
4417,22,15.0,108663,435,1400,1775,95,26,0.6665381194926828,1.2043214607932176
4417,23,15.0,108958,346,1176,1790,92,25,0.6646423456564604,1.228189462159571
4417,24,15.0,109204,275,988,1803,90,24,0.6565373972989349,1.2481780534393918
4417,25,15.0,109409,218,829,1813,87,24,0.654744252277461,1.2665860856861817
4417,26,15.0,109580,174,696,1822,85,23,0.6710063915025646,1.285494948985404
4417,27,15.0,109723,138,584,1829,82,25,0.6672565418848978,1.3129384865963012
4417,28,15.0,109844,109,490,1835,80,25,0.6948677795416981,1.3387608771501658
4417,29,15.0,109946,87,411,1840,78,26,0.6955175844331845,1.3430748508140686
4417,30,15.0,110033,69,345,1844,76,28,0.6688916383609496,1.346009794947707
4417,31,15.0,110108,55,290,1848,74,27,0.6959704311919992,1.3878299881578968
4417,32,15.0,110173,43,243,1850,71,27,0.6715344434208368,1.3900671236807194
4417,33,15.0,110228,34,204,1853,70,25,0.6912398555237338,1.3918356734602666
4417,34,15.0,110275,27,171,1855,68,25,0.6912398555237338,1.3918356734602666
4417,35,15.0,110315,21,143,1856,66,28,0.7043681865930008,1.3882705394790504
4417,36,15.0,110350,17,120,1858,64,31,0.7091431051298753,1.393426655934466
4417,37,15.0,110381,13,101,1858,62,31,0.7227347606176469,1.3954033073418295
4417,38,15.0,110411,10,84,1859,60,36,0.6836800708050119,1.394796537784753
4417,39,15.0,110437,8,71,1859,59,36,0.700578771999405,1.3952410199087866
4417,40,15.0,110463,6,59,1859,57,36,0.7040742973955463,1.394459871334345
4417,41,15.0,110486,5,50,1859,56,32,0.6878579784697165,1.3945799775835808
4417,42,15.0,110507,4,42,1860,54,33,0.6845622115970157,1.3909670212509375
4417,43,15.0,110523,3,35,1860,53,33,0.6689607788224844,1.389796149279824
4417,44,15.0,110538,2,29,1860,51,39,0.6526096438882907,1.389249221011364
4417,45,15.0,110551,2,24,1860,50,41,0.6769370261123195,1.3895465018997273
4417,46,15.0,110567,1,20,1860,48,41,0.6665889826702425,1.3915749507231099
4417,47,15.0,110583,1,17,1859,47,41,0.6635197408589963,1.392260837276278
4417,48,15.0,110597,1,14,1859,46,41,0.6814268666458071,1.3919652277100656
4417,49,15.0,110610,0,12,1859,44,46,0.6692802760463499,1.3920927085898687
4417,50,15.0,110622,0,10,1858,43,45,0.6655829041565761,1.3942886782201025
4417,51,15.0,110635,0,8,1858,42,42,0.6570618497901238,1.3914518264269322
4417,52,15.0,110647,0,7,1858,41,47,0.6463275423444684,1.3949378175433207
4417,53,15.0,110656,0,6,1857,40,45,0.654691611307184,1.398242490444642
4417,54,15.0,110666,0,5,1857,39,44,0.6611331627615407,1.3999137650972946
4417,55,15.0,110675,0,4,1857,38,46,0.6607639023950644,1.3979158944029297
4417,56,15.0,110683,0,3,1857,37,51,0.6698393391168473,1.3991542974032396
4417,57,15.0,110691,0,3,1856,36,49,0.6760671275268769,1.3984036919687468
