Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
352,1,15.005,26581,49300,32946,184,134,13,0.35179514648308674,1.0219793353153956
352,2,15.01414213562373,22149,51050,32527,212,152,12,0.3516784591191305,1.0511731855419915
352,3,15.025980762113534,18435,54009,32978,245,172,12,0.3516784591191305,1.0511731855419915
352,4,15.04,15324,57149,33495,283,194,12,0.3516784591191305,1.0511731855419915
352,5,15.055901699437495,12718,60081,33826,327,220,14,0.38993355280093606,1.0744546463708142
352,6,15.073484692283495,10538,62678,33926,376,248,15,0.35902814006673794,1.048106419658009
352,7,15.092601295887262,8715,64925,33830,433,279,14,0.34395840758050766,1.0737085169845326
352,8,15.113137084989848,7192,66842,33588,497,315,13,0.34294027231180874,1.0846866591789799
352,9,15.135,5920,68453,33249,569,354,15,0.32427586793267044,1.0393417879351061
352,10,15.158113883008419,4860,69776,32854,650,397,17,0.3122701769960666,1.0803514345905294
352,11,15.182414363469547,3977,70824,32436,741,445,16,0.3129189740498429,1.1039818653144613
352,12,15.207846096908264,3243,71606,32023,843,498,17,0.30529833699821035,1.1195897477599426
352,13,15.234360832905159,2634,72126,31639,956,556,16,0.32075628089154284,1.1330510999233616
352,14,15.261916017074176,2131,72390,31304,1079,619,16,0.32075628089154284,1.1330510999233616
352,15,15.290473750965557,1715,72398,31037,1214,688,16,0.32075628089154284,1.1330510999233616
352,16,15.32,1373,72154,30855,1361,763,17,0.359421514980635,1.186770907445565
352,17,15.350463978177501,1094,71660,30772,1499,843,19,0.37559388187652454,1.2023530452964282
352,18,15.381837661840736,866,70981,30812,1606,929,20,0.4116435148011816,1.2111972182276465
352,19,15.414095399636365,682,70212,30989,1687,1021,21,0.34350049291093365,1.2395547275327456
352,20,15.447213595499958,535,69372,31289,1748,1117,19,0.3669563669606646,1.2503750156923565
352,21,15.481170447970364,418,68462,31698,1793,1218,22,0.37982503234524,1.2405733352570658
352,22,15.515945733580578,325,67484,32206,1825,1321,28,0.37311773837229595,1.2698444660446992
352,23,15.551520625180963,252,66443,32805,1847,1392,32,0.39303910556217264,1.2756864611817615
352,24,15.587877538267962,195,65445,33508,1863,1439,40,0.36471405363310205,1.291283596338388
352,25,15.625,150,64495,34287,1873,1470,42,0.3770483124722833,1.3218798592814147
352,26,15.662872536767061,116,63583,35119,1879,1490,43,0.35777733004201984,1.33083633793391
352,27,15.701480577065395,89,62696,35981,1884,1504,53,0.37656154381359375,1.3365808323838981
