Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
544,1,15.005,26195,38426,36129,238,192,11,0.6894139563025354,0.9451101976457715
544,2,15.01414213562373,25589,33189,35561,295,226,10,0.6648365703488774,0.9192026367879226
544,3,15.025980762113534,26510,29049,35764,364,267,10,0.6648365703488774,0.9192026367879226
544,4,15.04,28153,25535,36315,449,314,13,0.6741467617387854,0.9419770577874312
544,5,15.055901699437495,30154,22431,37008,552,369,16,0.6462661787318948,0.9553106060237314
544,6,15.073484692283495,32286,19630,37726,676,434,17,0.6633735935349793,0.9474030492717558
544,7,15.092601295887262,34390,17076,38399,825,509,17,0.6633735935349793,0.9474030492717558
544,8,15.113137084989848,36349,14740,38987,993,595,18,0.6491530511941721,0.9312730218605453
544,9,15.135,38098,12611,39474,1132,696,18,0.6513249242596998,0.9638675406097905
544,10,15.158113883008419,39646,10704,39881,1244,811,20,0.6623786612411718,0.9921810712943617
544,11,15.182414363469547,40995,9018,40219,1334,935,24,0.6508922863496837,1.0213488132258568
544,12,15.207846096908264,42151,7546,40501,1404,1040,24,0.6508922863496837,1.0213488132258568
544,13,15.234360832905159,43150,6282,40750,1460,1127,25,0.6555729503189296,1.007326555958215
544,14,15.261916017074176,44010,5208,40980,1504,1199,33,0.6346462111078331,1.0571232234563934
544,15,15.290473750965557,44738,4305,41200,1537,1258,35,0.6419157015630667,1.0679734876849138
544,16,15.32,45341,3550,41417,1563,1306,41,0.6538127462919667,1.0934937303944516
544,17,15.350463978177501,45826,2923,41639,1583,1345,45,0.6549539226579596,1.093824848119147
544,18,15.381837661840736,46201,2405,41871,1598,1377,50,0.6503663910239826,1.123567147866664
544,19,15.414095399636365,46473,1977,42119,1609,1402,60,0.6533660539880478,1.1394102342322747
544,20,15.447213595499958,46650,1626,42388,1617,1421,72,0.657777988935592,1.1600616282013356
544,21,15.481170447970364,46740,1337,42684,1623,1436,77,0.6509263651753083,1.1708063958167096
544,22,15.515945733580578,46751,1100,43011,1627,1447,96,0.662925651872871,1.1830558654207473
544,23,15.551520625180963,46685,905,43373,1629,1455,105,0.6503094875158103,1.1989269428912959
544,24,15.587877538267962,46552,746,43773,1630,1460,123,0.6449089693803715,1.2174215258810042
544,25,15.625,46351,616,44214,1630,1462,142,0.6487728110973365,1.2403160311018708
544,26,15.662872536767061,46088,508,44700,1628,1461,170,0.6480583795987148,1.2474946861610439
