Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
367,1,15.005,48666,33938,40606,174,171,19,0.5197344795639521,0.994009041773738
367,2,15.01414213562373,47548,34008,40674,201,179,19,0.5197344795639521,0.994009041773738
367,3,15.025980762113534,46882,34326,40936,233,187,17,0.5509304612619326,1.0090813424080638
367,4,15.04,46226,34661,41145,268,196,22,0.5647023563573049,1.022403938311845
367,5,15.055901699437495,45587,35019,41298,309,205,23,0.5513695693765477,1.0437979987635218
367,6,15.073484692283495,44968,35403,41389,356,214,26,0.5357142270550148,1.0113347547000002
367,7,15.092601295887262,44368,35817,41409,409,224,27,0.5431210148245408,0.9961304281910572
367,8,15.113137084989848,43791,36266,41351,469,233,29,0.5400400298020311,0.9980195509911429
367,9,15.135,43237,36755,41206,537,243,29,0.5337013160064018,1.010069491791304
367,10,15.158113883008419,42710,37290,40966,613,254,28,0.5440583294803394,1.0233251177085096
367,11,15.182414363469547,42210,37875,40621,699,265,26,0.550535833127233,1.0226287771328002
367,12,15.207846096908264,41738,38518,40162,794,276,27,0.53770174074532,1.0267275386953079
367,13,15.234360832905159,41297,39226,39582,900,287,26,0.5551968741380798,1.019985858942865
367,14,15.261916017074176,40887,40006,38871,997,299,25,0.5608357423799752,1.046183605833249
367,15,15.290473750965557,40525,40876,38058,1077,311,27,0.5555528408048792,1.0517248862265423
367,16,15.32,40210,41838,37171,1141,324,29,0.5555801068648675,1.0865920583534006
367,17,15.350463978177501,39926,42883,36226,1193,336,28,0.5565715009754645,1.0875357961649548
367,18,15.381837661840736,39661,44006,35233,1235,350,26,0.5709810834275141,1.0963582298274686
367,19,15.414095399636365,39404,45198,34203,1269,363,28,0.5701615837223944,1.1079862893326302
367,20,15.447213595499958,39144,46454,33144,1295,377,29,0.557535851139401,1.1088590151942812
367,21,15.481170447970364,38874,47769,32063,1316,391,31,0.5490735065708825,1.1086632843612785
367,22,15.515945733580578,38589,49139,30967,1333,405,33,0.5475408291197086,1.0872152989147212
367,23,15.551520625180963,38282,50560,29860,1346,420,33,0.5335251924689601,1.1003940022679413
367,24,15.587877538267962,37950,52028,28747,1357,434,34,0.5208164218693335,1.117611078211945
367,25,15.625,37590,53540,27631,1365,449,33,0.5254445089703492,1.1144327979290425
367,26,15.662872536767061,37197,55094,26517,1372,465,37,0.5116240454145877,1.1340308773686107
367,27,15.701480577065395,36772,56685,25406,1377,480,36,0.4919206509126395,1.1236757569763736
367,28,15.740810367098085,36312,58312,24304,1381,495,42,0.48297253319819344,1.1353409036610462
367,29,15.780848897034502,35816,59972,23211,1384,511,44,0.4744728582603306,1.1604494414724977
367,30,15.82158383625775,35285,61661,22131,1386,527,45,0.4698825228011503,1.1548555674403895
367,31,15.863003476238653,34717,63377,21067,1387,542,52,0.461203809610515,1.159627527961215
367,32,15.905096679918781,34114,65116,20021,1388,558,58,0.47267027924710275,1.1623817789371511
