Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
325,1,15.005,39059,36123,50664,134,145,14,0.47710976726832705,1.0512230630079376
325,2,15.01414213562373,33799,29507,50961,168,158,14,0.47710976726832705,1.0512230630079376
325,3,15.025980762113534,29216,24078,55137,209,171,14,0.47710976726832705,1.0512230630079376
325,4,15.04,25222,19625,61752,260,186,13,0.4961990221441044,1.0412824093412603
325,5,15.055901699437495,21740,15972,69865,323,202,16,0.489210200198075,1.0437653174752177
325,6,15.073484692283495,18703,12977,78533,401,220,17,0.4988258371417036,1.0504690562834569
325,7,15.092601295887262,16054,10521,86824,496,239,19,0.4475725543825759,1.0605124105951524
325,8,15.113137084989848,13742,8509,94050,612,259,20,0.46683331024180763,1.051834624658668
325,9,15.135,11725,6861,99928,752,281,20,0.4529898210495336,1.0231477573976009
325,10,15.158113883008419,9965,5512,104527,921,305,20,0.4529898210495336,1.0231477573976009
325,11,15.182414363469547,8430,4410,108081,1122,331,21,0.44585801032659494,1.0232289544441824
325,12,15.207846096908264,7093,3510,110825,1358,359,23,0.43771622709230723,1.0537663714995993
325,13,15.234360832905159,5929,2778,112937,1606,389,24,0.4466014150609878,1.05570775416074
325,14,15.261916017074176,4922,2184,114575,1802,421,22,0.45688709933635513,1.0585317479656597
325,15,15.290473750965557,4064,1709,115913,1954,456,22,0.4225694696238193,1.0975931561144678
325,16,15.32,3339,1331,117022,2070,494,23,0.4174550181517812,1.0969248544235828
325,17,15.350463978177501,2733,1033,117937,2156,534,28,0.4034848874986837,1.1750222201145577
325,18,15.381837661840736,2230,799,118684,2219,578,31,0.4027535325824314,1.1579852404066011
325,19,15.414095399636365,1815,617,119288,2265,624,34,0.3957839808002803,1.2196198092024624
325,20,15.447213595499958,1473,475,119768,2298,674,38,0.3840837386144761,1.2497811003573869
325,21,15.481170447970364,1194,365,120144,2322,728,48,0.3786356255853018,1.2606164091268237
325,22,15.515945733580578,965,280,120431,2337,785,56,0.380486034739493,1.2668828858588335
325,23,15.551520625180963,779,215,120645,2346,846,65,0.3846234543224762,1.2765359668946346
325,24,15.587877538267962,627,164,120797,2351,910,78,0.3574576257750932,1.3085512867532618
325,25,15.625,505,125,120898,2352,978,98,0.3528833511340054,1.3385300761989307
325,26,15.662872536767061,405,95,120957,2348,1050,113,0.35332829636181395,1.3500343410012394
325,27,15.701480577065395,325,73,120982,2342,1125,148,0.35067305126432075,1.3615775095111176
325,28,15.740810367098085,260,55,120978,2331,1203,172,0.3516689827698062,1.377968669237584
325,29,15.780848897034502,207,42,120954,2318,1284,226,0.3508277210529973,1.392438990892771
325,30,15.82158383625775,165,31,120911,2298,1350,281,0.3481820395260424,1.3946125040426935
325,31,15.863003476238653,131,24,120884,2273,1393,338,0.35769801056631323,1.405745731216096
325,32,15.905096679918781,104,18,120889,2244,1420,416,0.35321416613608075,1.4116071442694218
325,33,15.947852836678775,83,13,120921,2209,1435,529,0.35659523690600686,1.4181970776711215
325,34,15.9912618221237,66,10,120977,2164,1438,662,0.35629775998499713,1.4193771672118878
325,35,16.035313962042434,53,7,121062,2108,1433,825,0.3570016934580581,1.4229579986189629
325,36,16.08,42,6,121175,2042,1421,985,0.35775309711678005,1.4298871897322565
325,37,16.12531106810517,33,4,121317,1971,1404,1225,0.3572521065753492,1.4355088949779682
325,38,16.171238660564107,27,3,121475,1884,1379,1494,0.35874069401750297,1.4372122097522018
325,39,16.217774609687687,21,2,121665,1785,1348,1797,0.35957657790218345,1.4423817528129943
325,40,16.264911064067352,17,2,121885,1678,1312,2165,0.35954926540445953,1.4437559828183255
325,41,16.312640468673735,14,1,122129,1561,1270,2591,0.3615042955545584,1.4466619047727625
325,42,16.36095554666565,11,1,122397,1436,1223,3049,0.36181907058035456,1.4491096567232724
325,43,16.40984928272493,9,0,122688,1311,1164,3524,0.3629147242514379,1.450416802128253
325,44,16.459314907756376,7,0,122999,1192,1087,4092,0.36352774164925417,1.4533187657741657
325,45,16.509345884812358,6,0,123328,1037,991,4610,0.3642120900655791,1.4542989583126347
325,46,16.559935896118812,5,0,123738,863,885,5081,0.36459202560292253,1.4558637556448963
325,47,16.611078831094247,4,0,124204,690,774,5516,0.365887422976893,1.4572983523875078
325,48,16.662768775266123,3,0,124685,531,665,5935,0.36624545559520133,1.458231364743376
325,49,16.715,3,0,125145,393,561,6274,0.36693331501299475,1.4595912581214572
325,50,16.76776695296637,2,0,125564,282,466,6498,0.3676528419978078,1.4603284855256486
325,51,16.821064249278425,2,0,125924,198,383,6626,0.36843265676225745,1.4612222937264343
325,52,16.874886663241274,1,0,126216,138,314,6691,0.3693011909094436,1.4621613878866648
325,53,16.929229120659336,1,0,126444,95,257,6724,0.36997125668395875,1.4632484989817676
325,54,16.984086691654376,1,0,126617,66,210,6667,0.3709081112337514,1.4640539280585518
325,55,17.039454583951308,1,0,126748,46,172,6561,0.3720490425647056,1.4646374342253614
325,56,17.09532813659341,1,0,126843,32,141,6459,0.3727655053426251,1.4657882247472174
325,57,17.151702814052165,0,0,126913,23,117,6313,0.3737046919859563,1.4663571759390457
325,58,17.208574200700532,0,0,126963,16,98,6146,0.37482424369130185,1.4673272591638487
325,59,17.26593799562124,0,0,126997,12,82,5932,0.3753777004080575,1.4682070442769948
325,60,17.32379000772445,0,0,127020,9,70,5707,0.37607136714783074,1.4692203252455258
325,61,17.38212615115153,0,0,127033,7,60,5457,0.3767240109576556,1.4699008980777324
325,62,17.44094244094366,0,0,127040,5,52,5176,0.37727248447314726,1.4705918875981996
325,63,17.500234988956038,0,0,127041,4,46,4859,0.37788487854797465,1.4714024503497272
325,64,17.56,0,0,127037,4,41,4543,0.37865618815771734,1.4717159122072612
325,65,17.62023376819703,0,0,127030,3,37,4202,0.3789232180845592,1.4725747166597183
325,66,17.680932673529867,0,0,127019,3,34,3815,0.3793407834774744,1.4734786846658843
325,67,17.74209317857727,0,0,127005,3,32,3412,0.3792709160353079,1.4739669555539159
