Run,Tick,Temperature,ID_0_Pop_(Producer),ID_1_Pop_(Producer),ID_2_Pop_(Producer),ID_3_Pop_(Consumer),ID_4_Pop_(Consumer),ID_5_Pop_(GeneticEngine),Avg_Heat_Resistance,Avg_Foraging_Efficiency
4428,1,15.0,36547,41437,32839,152,138,20,0.6149872851649367,1.00460673137088
4428,2,15.0,37378,34364,28792,188,134,20,0.6149872851649367,1.00460673137088
4428,3,15.0,41424,28475,25996,233,130,20,0.6149872851649367,1.00460673137088
4428,4,15.0,47452,23570,23762,288,127,22,0.628706469103224,0.9854343006276991
4428,5,15.0,54683,19484,21759,356,123,22,0.628706469103224,0.9854343006276991
4428,6,15.0,62313,16079,19827,440,120,23,0.6443447154879495,0.9823704545388121
4428,7,15.0,69550,13241,17909,544,116,25,0.6447141935607845,0.9858448896192109
4428,8,15.0,75822,10876,16019,670,113,25,0.6296255538219397,1.0142747031748884
4428,9,15.0,80903,8904,14196,826,110,29,0.6682288275154595,1.04148494808831
4428,10,15.0,84835,7261,12482,972,107,33,0.6191202176758348,1.0263749232065738
4428,11,15.0,87946,5898,10914,1098,104,34,0.6086719406467285,1.0127325917070507
4428,12,15.0,90502,4776,9506,1206,102,34,0.586776197460133,1.0279803919011365
4428,13,15.0,92645,3856,8255,1298,99,34,0.586776197460133,1.0279803919011365
4428,14,15.0,94455,3106,7152,1375,96,34,0.5962008724945258,1.0403187909699725
4428,15,15.0,95988,2497,6185,1440,94,33,0.6020476314986722,1.0422707899104402
4428,16,15.0,97286,2004,5340,1494,91,33,0.618776270144914,1.0682214363798055
4428,17,15.0,98384,1606,4604,1540,89,32,0.6072259618384452,1.0730106737484464
4428,18,15.0,99314,1286,3965,1579,86,33,0.5922696962720693,1.0859257658038708
4428,19,15.0,100100,1028,3412,1611,84,32,0.6053890908695361,1.0936580286688333
4428,20,15.0,100766,822,2934,1638,82,31,0.5958149878991353,1.094579143131307
4428,21,15.0,101330,656,2521,1660,80,31,0.6169805385563629,1.1195359352936691
4428,22,15.0,101807,524,2165,1679,77,30,0.6207494817602067,1.1101705959944463
4428,23,15.0,102212,418,1859,1695,75,30,0.6207494817602067,1.1101705959944463
4428,24,15.0,102555,333,1595,1708,73,31,0.6347362262066212,1.129342494443434
4428,25,15.0,102847,265,1369,1719,72,32,0.6428591115576354,1.1276661339968597
4428,26,15.0,103096,211,1174,1728,70,32,0.6416027881306936,1.1496637212760166
4428,27,15.0,103309,168,1007,1736,68,34,0.6258413338943012,1.173727397075819
4428,28,15.0,103491,134,863,1742,66,35,0.610145469068194,1.1936500949777649
4428,29,15.0,103648,107,740,1747,64,34,0.6132370176781615,1.1865957692282314
4428,30,15.0,103782,85,634,1751,63,28,0.6063389653715543,1.257235689541541
4428,31,15.0,103897,68,544,1755,61,28,0.6063389653715543,1.257235689541541
4428,32,15.0,103993,54,466,1759,60,27,0.6116634700499276,1.2474144815830384
